LCSC,Manufacturer part,Designators,Qty per board,Stock checked 2026-09-20,Source
C124379,B-2100S05P-A110,J101,1,22260,https://www.lcsc.com/product-detail/C124379.html
C14858,CL10C101JB8NNNC,C116,1,1030400,https://www.lcsc.com/product-detail/C14858.html
C1591,CL10B104KB8NNNC,C101 C102 C106 C113 C114 C115 C118 C119,8,381900,https://www.lcsc.com/product-detail/C1591.html
C16072,AO4407A,Q101 Q102,2,26935,https://www.lcsc.com/product-detail/C16072.html
C165762,RC0603FR-07187KL,R112,1,11800,https://www.lcsc.com/product-detail/C165762.html
C169167,TPS55340RTER,U102,1,20627,https://www.lcsc.com/product-detail/C169167.html
C2041441,SRP7050TA-100M,L101,1,182,https://www.lcsc.com/product-detail/C2041441.html
C22452,SS54,D101,1,2034540,https://www.lcsc.com/product-detail/C22452.html
C137791,RC0603FR-07169KL,R115,1,13700,https://www.lcsc.com/product-detail/C137791.html
C22961,0603WAF2203T5E,R117,1,1339800,https://www.lcsc.com/product-detail/C22961.html
C23048,0603WAF4023T5E,R120,1,21600,https://www.lcsc.com/product-detail/C23048.html
C23162,0603WAF4701T5E,R108 R109,2,15662400,https://www.lcsc.com/product-detail/C23162.html
C25819,0603WAF4702T5E,R101 R103,2,345700,https://www.lcsc.com/product-detail/C25819.html
C25965,0603WAF2551T5E,R111,1,34700,https://www.lcsc.com/product-detail/C25965.html
C25980,0603WAF7151T5E,R119,1,9300,https://www.lcsc.com/product-detail/C25980.html
C2678061,STUSB4500QTR,U101,1,5443,https://www.lcsc.com/product-detail/C2678061.html
C28323,CL21B105KBFNNNE,C103 C104 C105,3,557830,https://www.lcsc.com/product-detail/C28323.html
C2907078,FRC0603F9532TS,R110,1,120400,https://www.lcsc.com/product-detail/C2907078.html
C2935152,ESDA25W,D104,1,1995,https://www.lcsc.com/product-detail/C2935152.html
C2960683,FRC2512F1001TS,R105 R106,2,90020,https://www.lcsc.com/product-detail/C2960683.html
C523793,TVS2200DRVR,U104,1,5480,https://www.lcsc.com/product-detail/C523793.html
C531431,CGA5L1X7R1H106KT0Y0N,C108 C109 C110 C111 C112,5,27097,https://www.lcsc.com/product-detail/C531431.html
C544399,TPS26600PWPR,U103,1,4962,https://www.lcsc.com/product-detail/C544399.html
C64705,CL10B224KB8NNNC,C117,1,362750,https://www.lcsc.com/product-detail/C64705.html
C699190,BZT52C12S,D102 D103,2,360,https://www.lcsc.com/product-detail/C699190.html
C98220,RC0603FR-0710KL,R102 R104 R107 R113 R114 R116 R118,7,11191400,https://www.lcsc.com/product-detail/C98220.html
C42418793,TYPE-C-2MD-16P,USB1,1,3765,https://www.lcsc.com/product-detail/C42418793.html
